qtype,Question,Answer
treatment,What are the treatments for Parasites - Scabies ?,"Suggested General Guidelines 
  
    
   
  
It is important to remember that the first time a person gets scabies they usually have no symptoms during the first 2 to 6 weeks they are infested; however they can still spread scabies during this time. 
  
Treatment should be given to both the infested person and to household members and sexual contacts, particularly those who have had prolonged direct skin-to-skin contact with the infested person. Both sexual and close personal contacts who have had direct prolonged skin-to-skin contact with an infested person within the preceding month should be examined and treated. All persons should be treated at the same time to prevent reinfestation. Scabies may sometimes be sexually-acquired in adults, but is rarely sexually-acquired in children. 
  
Bedding, clothing, and towels used by infested persons or their household, sexual, and close contacts (as defined above) anytime during the three days before treatment should be decontaminated by washing in hot water and drying in a hot dryer, by dry-cleaning, or by sealing in a plastic bag for at least 72 hours. Scabies mites generally do not survive more than 2 to 3 days away from human skin. 
  
Use of insecticide sprays and fumigants is not recommended. 
    
  Medications Used to Treat Scabies 
  
    
   
  
Products used to treat scabies are called scabicides because they kill scabies mites; some also kill mite eggs. Scabicides used to treat human scabies are available only with a doctor’s prescription. No “over-the-counter” (non-prescription) products have been tested and approved to treat scabies. 
  
Scabicide should be applied to all areas of the body from the neck down to the feet and toes. In addition, when treating infants and young children, scabicide also should be applied to their entire head and neck because scabies can affect their face, scalp, and neck, as well as the rest of their body. The scabicide should be applied to a clean body and left on for the recommended time before washing it off. Clean clothing should be worn after treatment. 
  
The instructions contained in the box or printed on the label always should be followed carefully. Always contact a doctor or pharmacist if unsure how to use a particular medicine. 
  
Because the symptoms of scabies are due to a hypersensitivity reaction (allergy) to mites and their feces (scybala), itching still may continue for several weeks after treatment even if all the mites and eggs are killed. If itching still is present more than 2 to 4 weeks after treatment or if new burrows or pimple-like rash lesions continue to appear, retreatment may be necessary. 
  
Skin sores that become infected should be treated with an appropriate antibiotic prescribed by a doctor."
prevention,How to prevent Parasites - Scabies ?,"When a person is infested with scabies mites the first time, symptoms may not appear for up to two months after being infested. However, an infested person can transmit scabies, even if they do not have symptoms. Scabies usually is passed by direct, prolonged skin-to-skin contact with an infested person. However, a person with crusted (Norwegian) scabies can spread the infestation by brief skin-to-skin contact or by exposure to bedding, clothing, or even furniture that he/she has used.
    
Scabies is prevented by avoiding direct skin-to-skin contact with an infested person or with items such as clothing or bedding used by an infested person. Scabies treatment usually is recommended for members of the same household, particularly for those who have had prolonged skin-to-skin contact. All household members and other potentially exposed persons should be treated at the same time as the infested person to prevent possible reexposure and reinfestation. Bedding and clothing worn or used next to the skin anytime during the 3 days before treatment should be machine washed and dried using the hot water and hot dryer cycles or be dry-cleaned. Items that cannot be dry-cleaned or laundered can be disinfested by storing in a closed plastic bag for several days to a week. Scabies mites generally do not survive more than 2 to 3 days away from human skin. Children and adults usually can return to child care, school, or work the day after treatment.
    
Persons with crusted scabies and their close contacts, including household members, should be treated rapidly and aggressively to avoid outbreaks. Institutional outbreaks can be difficult to control and require a rapid, aggressive, and sustained response.
    
Rooms used by a patient with crusted scabies should be thoroughly cleaned and vacuumed after use. Environmental disinfestation using pesticide sprays or fogs generally is unnecessary and is discouraged."
susceptibility,Who is at risk for Alkhurma Hemorrhagic Fever (AHF)? ?,"Transmission of AHFV is not well understood. AHFV is a zoonotic virus, and its described tick hosts (the soft tick Ornithodoros savignyi and the hard tick Hyalomma dromedari) are widely distributed. People can become infected through a tick bite or when crushing infected ticks. Epidemiologic studies indicate that contact with domestic animals or livestock may increase the risk of human infection. No human-to-human transmission of AHF has been documented. 
 
Although livestock animals may provide blood meals for ticks, it is thought that they play a minor role in transmitting AHFV to humans. No transmission through non-pasteurized milk has been described, although other tick-borne flaviviruses have been transmitted to humans through this route."
symptoms,What are the symptoms of Alkhurma Hemorrhagic Fever (AHF) ?,"Based on limited information, after an incubation period that could be as short as 2-4 days, the disease presents initially with non-specific flu-like symptoms, including fever, anorexia (loss of appetite), general malaise, diarrhea, and vomiting; a second phase has appeared in some patients, and includes neurologic and hemorrhagic symptoms in severe form. Multi-organ failure precedes fatal outcomes. No repeated or chronic symptoms have been reported following recovery. Evidence suggests that a milder form may exist, where hospitalization is not required. 
                
Thrombocytopenia, leukopenia, and elevated liver enzymes are nearly always observed in patients who have been hospitalized."
susceptibility,Who is at risk for Alkhurma Hemorrhagic Fever (AHF)? ?,"Contact with  livestock with tick exposure are risk factors for humans, as is contact with infected ticks, whether through crushing the infected tick with unprotected fingers or by a bite from an infected tick. Slaughtering of animals which may acutely but asymptomatically infected may also be a risk factor, as it is possible that infected animals develop a viremia without obvious clinical signs."
exams and tests,How to diagnose Alkhurma Hemorrhagic Fever (AHF) ?,"Clinical diagnosis could be difficult due to similarities between AVHF, Crimean-Congo Hemorrhagic fever (CCHF), and Rift Valley fever (RVF), which occur in similar geographic areas. Laboratory diagnosis of AHF can be made in the early stage of the illness by molecular detection by PCR or virus isolation from blood. Later, serologic testing using enzyme-linked immunosorbent serologic assay (ELISA) can be performed."
treatment,What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%."
prevention,How to prevent Alkhurma Hemorrhagic Fever (AHF) ?,"Given that no treatment or specific prophylaxis is presently available, prevention and increased awareness of AHFV are the only recommended measures. Complete control of ticks and interruption of the virus life cycle is impractical; in endemic regions, it is important to avoid tick-infested areas and to limit contact with livestock and domestic animals.  
                
Individuals should use tick repellants on skin and clothes and check skin for attached ticks, removing them as soon as possible. Tick collars are available for domestic animals, and dipping in acaricides is effective in killing ticks on livestock. People working with animals or animal products in farms or slaughterhouses should avoid unprotected contact with the blood, fluids, or tissues of any potentially infected or viremic animals."
information,What is (are) Parasites - Taeniasis ?,"Taeniasis in humans is a parasitic infection caused by the tapeworm species Taenia saginata (beef tapeworm), Taenia solium (pork tapeworm), and Taenia asiatica (Asian tapeworm). Humans can become infected with these tapeworms by eating raw or undercooked beef (T. saginata) or pork (T. solium and T. asiatica). People with taeniasis may not know they have a tapeworm infection because symptoms are usually mild or nonexistent.

T. solium tapeworm infections can lead to cysticercosis, which is a disease that can cause seizures, so it is important seek treatment."
susceptibility,Who is at risk for Parasites - Taeniasis? ?,"The tapeworms that cause taeniasis (Taenia saginata, T. solium, and T. asiatica) are found worldwide. Eating raw or undercooked beef or pork is the primary risk factor for acquiring taeniasis. Persons who don't eat raw or undercooked beef or pork are not likely to get taeniasis.
    
Infections with T. saginata occur wherever contaminated raw beef is eaten, particularly in Eastern Europe, Russia, eastern Africa and Latin America. Taeniasis due to T. saginata is rare in the United States, except in places where cattle and people are concentrated and sanitation is poor, such as around feed lots when cattle can be exposed to human feces. Tapeworm infections due to T. solium are more prevalent in under-developed communities with poor sanitation and where people eat raw or undercooked pork. Higher rates of illness have been seen in people in Latin America, Eastern Europe, sub-Saharan Africa, India, and Asia. Taenia solium taeniasis is seen in the United States, typically among Latin American immigrants. Taenia asiatica is limited to Asia and is seen mostly in the Republic of Korea, China, Taiwan, Indonesia, and Thailand.
    
A disease called cysticercosis can occur when T. solium tapeworm eggs are ingested. For example, people with poor hygiene who have taeniasis -- with or without symptoms -- will shed tapeworm eggs in their feces and might accidentally contaminate their environment. This can lead to transmission of cysticercosis to themselves or others.
    
More on: Cysticercosis"
exams and tests,How to diagnose Parasites - Taeniasis ?,"Diagnosis of Taenia tapeworm infections is made by examination of stool samples; individuals should also be asked if they have passed tapeworm segments. Stool specimens should be collected on three different days and examined in the lab for Taenia eggs using a microscope. Tapeworm eggs can be detected in the stool 2 to 3 months after the tapeworm infection is established.
    
Tapeworm eggs of T. solium can also infect humans, causing cysticercosis. It is important to diagnose and treat all tapeworm infections.
    
More on: cysticercosis"
treatment,What are the treatments for Parasites - Taeniasis ?,"Treatment is available after accurate diagnosis. Your doctor will provide prescription medication, either praziquantel or niclosamide, which is taken by mouth. The medication is also available in a children’s dosage. Work with your health care provider for proper treatment options for you and your family.
    
More on: Resources For Health Professionals: Treatment"
prevention,How to prevent Parasites - Taeniasis ?,"One way to prevent taeniasis is to cook meat to safe temperatures. A food thermometer should be used to measure the internal temperature of cooked meat. Do not sample meat until it is cooked. USDA recommends the following for meat preparation.
   
    - For Whole Cuts of Meat (excluding poultry) 
     
      - Cook to at least 145° F (63° C) as measured with a food thermometer placed in the thickest part of the meat, then allow the meat to rest* for three minutes before carving or consuming.
     
    - For Ground Meat (excluding poultry) 
     
      - Cook to at least 160° F (71° C); ground meats do not require a rest* time.
     
   
   
*According to USDA, ""A 'rest time' is the amount of time the product remains at the final temperature, after it has been removed from a grill, oven, or other heat source. During the three minutes after meat is removed from the heat source, its temperature remains constant or continues to rise, which destroys pathogens.""
   
More on: Fight BAC: Safe Food Handling"
information,What is (are) Parasites - Baylisascaris infection ?,"Baylisascaris worms are intestinal parasites found in a wide variety of animals. Different species of Baylisascaris are associated with different animal hosts. For example, Baylisascaris procyonis is found in raccoons and Baylisascaris columnaris is an intestinal parasite found in skunks. Cases of Baylisascaris infection in people are not frequently reported, but can be severe. Baylisascaris procyonis is thought to pose the greatest risk to humans because of the often close association of raccoons to human dwellings."
susceptibility,Who is at risk for Parasites - Baylisascaris infection? ?,"Raccoons are the primary, or definitive, host of Baylisascaris procyonis, a roundworm. Raccoons become infected with Baylisascaris in one of two ways:
    
     - Young raccoons become infected by eating eggs during foraging, feeding, and grooming.
     - Adult raccoons acquire the infection by eating rodents, rabbits, and birds infected with the larvae of Baylisascaris.
    
    
Infected raccoons have been found throughout the United States, mainly in the Midwest, Northeast, Middle Atlantic, and West Coast.
    
Raccoons are peridomestic animals, which means they live in or around areas where people live. Roundworm eggs are passed in the feces of infected raccoons. Raccoons defecate in communal sites, called latrines. Raccoon latrines are often found at bases of trees, unsealed attics, or on flat surfaces such as logs, tree stumps, rocks, decks, and rooftops. As more raccoons move into populated areas, the number and density of their latrines will increase.
    
While raccoons are the roundworm's primary host, other types of animals can become infected. Birds and small mammals, such as rodents and rabbits, are susceptible to the parasite. Unlike raccoons, these animals sometimes show signs of infection, such as muscle spasms, tremors, and progressive weakness; infection can lead to death. Predator animals, including dogs, may become infected by eating an animal that has been infected with Baylisascaris. In some dogs, Baylisascaris may develop to adult worms and pass eggs in the dogs' feces.
    
The worms develop to maturity in the raccoon intestine, where they produce millions of eggs that are passed in the feces. Eggs that are excreted by raccoons are not immediately infectious. These eggs must develop in the environment for 2 to 4 weeks, after which the eggs are able to cause infection. The eggs are resistant to most environmental conditions and with adequate moisture, can survive for years.
    
     
    
    
Humans become infected by ingesting embryonated (fertile) eggs. Anyone who is exposed to environments where raccoons frequent is potentially at risk. Young children or developmentally disabled persons are at highest risk for infection as they may be more likely to put contaminated fingers, soil, or objects into their mouths.
    
Hunters, trappers, taxidermists, and wildlife handlers may also be at increased risk if they have contact with raccoons or raccoon habitats.
    
Fewer than 25 cases of Baylisascaris disease have been documented in the United States. However, it is possible that some cases are incorrectly diagnosed as other infections or go undiagnosed. Cases that are diagnosed tend to be severe.
    
Cases have been reported in California, Illinois, Louisiana, Massachusetts, Michigan, Minnesota, Missouri, New York, Oregon, and Pennsylvania. As of 2012, there were 16 published human neurological cases in the US; six of the infected persons died."
exams and tests,How to diagnose Parasites - Baylisascaris infection ?,"If you suspect you have been infected, consult your health care provider immediately. Be sure to tell your health care provider if you have recently been exposed to raccoons or their feces.
    
Diagnosis is difficult because symptoms depend on the number of infecting larvae and location in the body. Ocular larva migrans, when the larvae migrate to the eye, can cause sensitivity to light, inflammation of the eye, and blindness. Symptoms of visceral larva migrans, when the larvae travel to organs, depend on which organs are affected. For example, an invasion of the liver may cause hepatomegaly (inflammation and enlargement of the liver), while an invasion of the lung may cause pulmonary symptoms such as cough or chest pain. Larvae rarely end up in the nervous system but the most severe cases are neural larva migrans, when the larvae migrate into the brain and cause it to swell (encephalitis). There is no commercially available test for Baylisascaris infection. A health care provider may test blood, cerebrospinal fluid (CSF), and tissue to determine if an individual is infected. Eye examinations may reveal a migrating larva or lesions and are often the most significant clue to infection with Baylisascaris.
    
Diagnosis often is made by ruling out other infections that cause similar symptoms. Information on diagnosis and testing can be obtained through your local or state health department or CDC.
    
More on: Resources for Health Professionals: Diagnosis"
treatment,What are the treatments for Parasites - Baylisascaris infection ?,"No drugs have been shown to be totally effective for the treatment of Baylisascaris infection. Albendazole, a broad spectrum anthelmintic, has been recommended for specific cases.
    
Early treatment might reduce serious damage caused by the infection. Should you suspect you may have ingested raccoon feces, seek immediate medical attention.
    
More on: Resources for Health Professionals: Treatment"
prevention,How to prevent Parasites - Baylisascaris infection ?,"Baylisascaris infection can be prevented by avoiding contact with raccoons and their feces. Washing your hands after working or playing outdoors is good practice for preventing a number of diseases.
    
Do not keep, feed, or adopt wild animals, including raccoons, as pets. Infection rarely causes symptoms in raccoons, so you cannot tell if a raccoon is infected by observing its behavior. Roundworm eggs passed in the feces of infected raccoons are not visible to the naked eye. Eggs can only be seen using a microscope.
    
     
    
    
You may discourage raccoons from living in and around your home or parks by taking these steps:
    
     - prevent access to food
     - keep trash containers tightly closed
     - close off access to attics and basements
     - keep sandboxes covered when not in use (raccoons may use sandboxes as a latrine)
     - remove fish ponds -- they eat the fish and drink the water
     - eliminate water sources
     - remove bird feeders
     - clear brush so raccoons are not likely to make a den on your property
    
    
Stay away from areas and materials that might be contaminated by raccoon feces. Raccoons typically defecate at the base of or in raised forks of trees, or on raised horizontal surfaces such as fallen logs, stumps, or large rocks. Raccoon feces also can be found on woodpiles, decks, rooftops, and in attics, garages, and haylofts. Feces usually are dark and tubular, have a pungent odor (usually worse than dog or cat feces), and often contain undigested seeds or other food items.
    
If you have found a raccoon latrine near your home, cleaning the area may prevent possible infection. Newly deposited eggs take at least 2-4 weeks to become infective. Prompt removal and destruction of raccoon feces will reduce risk for exposure and possible infection.
    
More on: Raccoon Latrine Clean-up [PDF, 111 KB, 1 page]
    
     
    
    
If you choose to clean the site yourself, care should be taken to avoid contaminating hands and clothes.
    
     - Wear disposable gloves to help prevent cross contamination.
     - Wear a N95-rated respirator if working in a confined space to prevent accidental ingestion of eggs or other harmful materials.
     - Avoid stirring up dust and debris- you can lightly mist the latrine area with a little water from a spray bottle to reduce the amount of dust.
     - Wear rubber boots that can be scrubbed or cover your shoes with disposable booties that can be thrown away, so that you do not bring eggs into your household.
     - Feces and material contaminated with raccoon feces should be removed and burned, buried, or sent to a landfill.
     - Most chemicals do not kill roundworm eggs; however, heat kills the eggs instantly.
     - Treat feces-soiled decks, patios, and other surfaces with boiling water or a propane torch (please contact your local fire department for regulations and safety practices).
    
    
To help further reduce the risk of possible infection, wash your hands well with soap and warm running water. Clean/launder your clothes thoroughly with hot water and detergent.
    
More on: Handwashing
    
If you are cleaning an indoor raccoon latrine and are not able to use a propane torch, use a damp (but not wet) sponge to wipe the area with hot soapy water. Rinse your sponge frequently. After you are finished, flush dirty water down the toilet. Place the sponge in a plastic bag and put the plastic bag in the garbage.
    
Contact your local animal control office for additional assistance.
    Dogs
    
Dogs may be infected with adult B. procyonis roundworms, but may not show symptoms. Have all pets de-wormed under a veterinarian's supervision and take precautions to avoid contact with their feces.
    Exotic pets
    
Raccoons and dogs are not the only hosts of Baylisascaris. B. procyonis infection has also been documented in kinkajous. Other animals such as coatis may be susceptible. When wild animals are kept as pets, there can be a risk of disease transmission to humans."
information,What is (are) Parasites - Babesiosis ?,"Babesiosis is caused by microscopic parasites that infect red blood cells. Most human cases of Babesia infection in the United States are caused by the parasite Babesia microti. Occasional cases caused by other species (types) of Babesia have been detected. Babesia microti is spread in nature by Ixodes scapularis ticks (also called blacklegged ticks or deer ticks). Tickborne transmission is most common in particular regions and seasons: it mainly occurs in parts of the Northeast and upper Midwest; and it usually peaks during the warm months. Babesia infection can range in severity from asymptomatic to life threatening. The infection is both treatable and preventable.
    Frequently Asked Questions (FAQs)
    
    Podcasts"
susceptibility,Who is at risk for Parasites - Babesiosis? ?,"People can get infected with Babesia parasites in several ways:
    
     - The main way is through the bite of an infected tick—during outdoor activities in areas where babesiosis is found (see below).
     - A less common way is by getting a transfusion from a blood donor who has a Babesia infection but does not have any symptoms. (No tests have been licensed yet for screening blood donors for Babesia.)
     - Rare cases of congenital transmission—from an infected mother to her baby (during pregnancy or delivery)—have been reported.
    
    
Babesia parasites are not transmitted from person-to-person like the flu or the common cold.
    
Many different species (types) of Babesia parasites have been found in animals, only a few of which have been found in people. Babesia microti—which usually infects white-footed mice and other small mammals—is the main species that has been found in people in the United States. Occasional (sporadic) cases of babesiosis caused by other Babesia species have been detected.
    
     
    
    
Babesia microti is transmitted in nature by Ixodes scapularis ticks (also called blacklegged ticks or deer ticks).
    
     - Tickborne transmission primarily occurs in the Northeast and upper Midwest, especially in parts of New England, New York state, New Jersey, Wisconsin, and Minnesota.
     - The parasite typically is spread by the young nymph stage of the tick, which is most apt to be found (seeking or ""questing"" for a blood meal) during warm months (spring and summer), in areas with woods, brush, or grass.
     - Infected people might not recall a tick bite because I. scapularis nymphs are very small (about the size of a poppy seed)."
exams and tests,How to diagnose Parasites - Babesiosis ?,"In symptomatic people, babesiosis usually is diagnosed by examining blood specimens under a microscope and seeing Babesia parasites inside red blood cells.
    
To be sure the diagnosis is correct, your health care provider might have specimens of your blood tested by a specialized reference laboratory (such as at CDC or a health department).
    
More on: Resources for Health Professionals: Diagnosis"
treatment,What are the treatments for Parasites - Babesiosis ?,"Effective treatments are available. People who do not have any symptoms or signs of babesiosis usually do not need to be treated.
    
Before considering treatment, the first step is to make sure the diagnosis is correct.
    
For more information, people should talk to their health care provider.
    
More on: Resources for Health Professionals: Treatment"
prevention,How to prevent Parasites - Babesiosis ?,"Steps can be taken to reduce the risk for babesiosis and other tickborne infections. The use of prevention measures is especially important for people at increased risk for severe babesiosis (for example, people who do not have a spleen). Avoiding exposure to tick habitats is the best defense.
   
Babesia microti is spread by Ixodes scapularis ticks, which are mostly found in wooded, brushy, or grassy areas, in certain regions and seasons. No vaccine is available to protect people against babesiosis. However, people who live, work, or travel in tick-infested areas can take simple steps to help protect themselves against tick bites and tickborne infections.
   
    
   
   
During outdoor activities in tick habitats, take precautions to keep ticks off the skin.
   
    - Walk on cleared trails and stay in the center of the trail, to minimize contact with leaf litter, brush, and overgrown grasses, where ticks are most likely to be found.
    - Minimize the amount of exposed skin, by wearing socks, long pants, and a long-sleeved shirt. Tuck the pant legs into the socks, so ticks cannot crawl up the inside of the pants. Wear light-colored clothing, to make it easier to see and remove ticks before they attach to skin.
    - Apply repellents to skin and clothing. Follow the instructions on the product label. 
     
      - Products that contain DEET (N,N-diethylmetatoluamide) can be directly applied to exposed skin and to clothing, to help keep ticks away (by repelling them). The product label includes details about how and where to apply the repellent, how often to reapply it, and how to use it safely on children.
      - Permethrin products can be applied to clothing/boots (not to skin), actually kill ticks that come in contact with the treated clothing, and usually stay effective through several washings.
     
   
   
    
   
   
After outdoor activities, conduct daily tick checks and promptly remove any ticks that are found. Thorough, daily tick checks are very important. The I. scapularis nymphs that typically spread B. microti are so small (about the size of a poppy seed) that they are easily overlooked. But they usually must stay attached to a person for more than 36-48 hours to be able to transmit the parasite.
   
    - Remove ticks from clothing and pets before going indoors.
    - Conduct a full-body exam for ticks. Use a hand-held or full-length mirror to view all parts of the body. Be sure to check behind the knees, between the legs (groin/thighs), between the toes, under the arms (armpits), around the waist, inside the belly button, the back of the neck, behind and in the ears, as well as in and around the scalp, hairline, and hair. Remember to check children and pets, too.
   
   
Remove ticks that are attached to the skin as soon as possible, preferably by using pointed (fine-tipped) tweezers. Grab the tick’s mouth parts close to the skin, and slowly pull the tick straight out (with steady outward pressure), until the tick lets go.
   
More on: Removing Ticks
   
More on: Ticks"
symptoms,what are the signs and symptoms of rabies?,"The first symptoms of rabies may be very similar to those of the flu including general weakness or discomfort, fever, or headache. These symptoms may last for days.
                
There may be also discomfort or a prickling or itching sensation at the site of bite, progressing within days to symptoms of cerebral dysfunction, anxiety, confusion, agitation. As the disease progresses, the person may experience delirium, abnormal behavior, hallucinations, and insomnia.
                
The acute period of disease typically ends after 2 to 10 days. Once clinical signs of rabies appear, the disease is nearly always fatal, and treatment is typically supportive.
                
Disease prevention includes administration of both passive antibody, through an injection of human immune globulin and a round of injections with rabies vaccine.
                
Once a person begins to exhibit signs of the disease, survival is rare. To date less than 10 documented cases of human survival from clinical rabies have been reported and only two have not had a history of pre- or postexposure prophylaxis."
susceptibility,what is the risk for my pet for Rabies ?,"Any animal bitten or scratched by either a wild, carnivorous mammal or a bat that is not available for testing should be regarded as having been exposed to rabies.
  
Unvaccinated dogs, cats, and ferrets exposed to a rabid animal should be euthanized immediately. If the owner is unwilling to have this done, the animal should be placed in strict isolation for 6 months and vaccinated 1 month before being released.
  
Animals with expired vaccinations need to be evaluated on a case-by-case basis. Dogs and cats that are currently vaccinated are kept under observation for 45 days.
  
Small mammals such as squirrels, rats, mice, hamsters, guinea pigs, gerbils, chipmunks, rabbits, and hares are almost never found to be infected with rabies and have not been known to cause rabies among humans in the United States. Bites by these animals are usually not considered a risk of rabies unless the animal was sick or behaving in any unusual manner and rabies is widespread in your area.
  
However, from 1985 through 1994, woodchucks accounted for 86% of the 368 cases of rabies among rodents reported to CDC. Woodchucks or groundhogs (Marmota monax) are the only rodents that may be frequently submitted to state health department because of a suspicion of rabies. In all cases involving rodents, the state or local health department should be consulted before a decision is made to initiate postexposure prophylaxis (PEP).
  Is there rabies in my area?
  
Each state collects specific information about rabies, and is the best source for information on rabies in your area. In addition, the CDC publishes rabies surveillance data every year for the United States. The report, entitled Rabies Surveillance in the United States, contains information about the number of cases of rabies reported to CDC during the year, the animals reported rabid, maps showing where cases were reported for wild and domestic animals, and distribution maps showing outbreaks of rabies associated with specific animals."
exams and tests,how is rabies diagnosed?,"In animals, rabies is diagnosed using the direct fluorescent antibody (DFA) test, which looks for the presence of rabies virus antigens in brain tissue. In humans, several tests are required.
 
Rapid and accurate laboratory diagnosis of rabies in humans and other animals is essential for timely administration of postexposure prophylaxis. Within a few hours, a diagnostic laboratory can determine whether or not an animal is rabid and inform the responsible medical personnel. The laboratory results may save a patient from unnecessary physical and psychological trauma, and financial burdens, if the animal is not rabid.
 
In addition, laboratory identification of positive rabies cases may aid in defining current epidemiologic patterns of disease and provide appropriate information for the development of rabies control programs.
 
The nature of rabies disease dictates that laboratory tests be standardized, rapid, sensitive, specific, economical, and reliable."
information,what is botulism?,"Botulism is a rare but serious paralytic illness caused by a nerve toxin that is produced by the bacterium Clostridium botulinum and sometimes by strains of Clostridium butyricum and Clostridium baratii. There are five main kinds of botulism. Foodborne botulism is caused by eating foods that contain the botulinum toxin. Wound botulism is caused by toxin produced from a wound infected with Clostridium botulinum. Infant botulism is caused by consuming the spores of the botulinum bacteria, which then grow in the intestines and release toxin. Adult intestinal toxemia (adult intestinal colonization) botulism is a very rare kind of botulism that occurs among adults by the same route as infant botulism. Lastly, iatrogenic botulism can occur from accidental overdose of botulinum toxin. All forms of botulism can be fatal and are considered medical emergencies. Foodborne botulism is a public health emergency because many people can be poisoned by eating a contaminated food."
frequency,how common is botulism?,"In the United States, an average of 145 cases are reported each year.Of these, approximately 15% are foodborne, 65% are infant botulism, and 20% are wound. Adult intestinal colonization and iatrogenic botulism also occur, but rarely. Outbreaks of foodborne botulism involving two or more persons occur most years and are usually caused by home-canned foods. Most wound botulism cases are associated with black-tar heroin injection, especially in California."
symptoms,what are the symptoms of botulism?,"The classic symptoms of botulism include double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, and muscle weakness. Infants with botulism appear lethargic, feed poorly, are constipated, and have a weak cry and poor muscle tone. These are all symptoms of the muscle paralysis caused by the bacterial toxin. If untreated, these symptoms may progress to cause paralysis of the respiratory muscles, arms, legs, and trunk. In foodborne botulism, symptoms generally begin 18 to 36 hours after eating a contaminated food, but they can occur as early as 6 hours or as late as 10 days."
exams and tests,how is botulism diagnosed?,"Physicians may consider the diagnosis if the patient's history and physical examination suggest botulism. However, these clues are usually not enough to allow a diagnosis of botulism. Other diseases such as Guillain-Barré syndrome, stroke, and myasthenia gravis can appear similar to botulism, and special tests may be needed to exclude these other conditions. These tests may include a brain scan, spinal fluid examination, nerve conduction test (electromyography, or EMG), and a tensilon test for myasthenia gravis. Tests for botulinum toxin and for bacteria that cause botulism can be performed at some state health department laboratories and at CDC."
treatment,how can botulism be treated?,"The respiratory failure and paralysis that occur with severe botulism may require a patient to be on a breathing machine (ventilator) for weeks or months, plus intensive medical and nursing care. The paralysis slowly improves. Botulism can be treated with an antitoxin which blocks the action of toxin circulating in the blood. Antitoxin for infants is available from the California Department of Public Health, and antitoxin for older children and adults is available through CDC.If given before paralysis is complete, antitoxin can prevent worsening and shorten recovery time. Physicians may try to remove contaminated food still in the gut by inducing vomiting or by using enemas. Wounds should be treated, usually surgically, to remove the source of the toxin-producing bacteria followed by administration of appropriate antibiotics. Good supportive care in a hospital is the mainstay of therapy for all forms of botulism."
complications,are there complications from botulism?,"Botulism can result in death due to respiratory failure. However, in the past 50 years the proportion of patients with botulism who die has fallen from about 50% to 3-5%. A patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months, and some patients die from infections or other problems related to remaining paralyzed for weeks or months. Patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid recovery."
prevention,how can botulism be prevented?,"Many cases of botulism are preventable. Foodborne botulism has often been from home-canned foods with low acid content, such as asparagus, green beans, beets and corn and is caused by failure to follow proper canning methods. However, seemingly unlikely or unusual sources are found every decade, with the common problem of improper handling during manufacture, at retail, or by consumers; some examples are chopped garlic in oil, canned cheese sauce, chile peppers, tomatoes, carrot juice, and baked potatoes wrapped in foil. In Alaska, foodborne botulism is caused by fermented fish and other aquatic game foods. Persons who do home canning should follow strict hygienic procedures to reduce contamination of foods, and carefully follow instructions on safe home canning including the use of pressure canners/cookers as recommended through county extension services or from the US Department of Agriculture. Oils infused with garlic or herbs should be refrigerated. Potatoes which have been baked while wrapped in aluminum foil should be kept hot until served or refrigerated. Because the botulinum toxin is destroyed by high temperatures, persons who eat home-canned foods should consider boiling the food for 10 minutes before eating it to ensure safety. Wound botulism can be prevented by promptly seeking medical care for infected wounds and by not using injectable street drugs. Most infant botulism cases cannot be prevented because the bacteria that causes this disease is in soil and dust.  The bacteria can be found inside homes on floors, carpet, and countertops even after cleaning.  Honey can contain the bacteria that causes infant botulism so, children less than 12 months old should not be fed honey. Honey is safe for persons 1 year of age and older."
prevention,what are public health agencies doing to prevent or control botulism?,"Public education about botulism prevention is an ongoing activity. Information about safe canning is widely available for consumers. Persons in state health departments and at CDC are knowledgeable about botulism and available to consult with physicians 24 hours a day. If antitoxin is needed to treat a patient, it can be quickly delivered to a physician anywhere in the country. Suspected outbreaks of botulism are quickly investigated, and if they involve a commercial product, the appropriate control measures are coordinated among public health and regulatory agencies. Physicians should immediately report suspected cases of botulism to their state health department.
                
For information and quidelines on canning foods at home: USDA Home Canning Guide"
susceptibility,Who is at risk for Marburg hemorrhagic fever (Marburg HF)? ?,"It is unknown how Marburg virus first transmits from its animal host to humans; however, for the 2 cases in tourists visiting Uganda in 2008, unprotected contact with infected bat feces or aerosols are the most likely routes of infection. 
  
After this initial crossover of virus from host animal to humans, transmission occurs through person-to-person contact. This may happen in several ways: direct contact to droplets of body fluids from infected persons, or contact with equipment and other objects contaminated with infectious blood or tissues. 
  
In previous outbreaks, persons who have handled infected non-human primates or have come in direct contact with their fluids or cell cultures have become infected. Spread of the virus between humans has occurred in close environments and direct contacts. A common example is through caregivers in the home or in a hospital (nosocomial transmission)."
